wav_path,emotion,prompt_id,tts,emb_path
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_1_en-US-JennyNeural/13.wav,disgusted,idx13,azure,embeddings/wavlm_large/0bbc00c00c9a09e2874f86eb00119ec5d660c054.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_2_en-US-DavisNeural/13.wav,disgusted,idx13,azure,embeddings/wavlm_large/1f1389f48e980d63ca00c3d8536bca29b0bf4d32.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_3_en-US-GuyNeural/13.wav,disgusted,idx13,azure,embeddings/wavlm_large/f948a19d15bdd2980831345b7f47016d5278f411.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_4_en-US-AriaNeural/13.wav,disgusted,idx13,azure,embeddings/wavlm_large/c93456c98f547e875694971245b231ef3c7f2fe2.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_5_en-US-SaraNeural/13.wav,disgusted,idx13,azure,embeddings/wavlm_large/cd5d025b3144489bc77640751461a3e6d37f33e2.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_1_nova/13.wav,disgusted,idx13,cosyvoice2,embeddings/wavlm_large/b9945604f8f3f42837715037c687234ac87225bf.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_2_coral/13.wav,disgusted,idx13,cosyvoice2,embeddings/wavlm_large/87376d15c002b66c9a72c780d61fe38b95e8ba56.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_3_echo/13.wav,disgusted,idx13,cosyvoice2,embeddings/wavlm_large/6821977e7aa7828e4dfb6158d2f8edd4b31da94c.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_4_onyx/13.wav,disgusted,idx13,cosyvoice2,embeddings/wavlm_large/39be4ce306cf1926f3a7635592771f9c42bb167d.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_5_verse/13.wav,disgusted,idx13,cosyvoice2,embeddings/wavlm_large/7584ae0574f79af536acaab7912dc87a9267bc8f.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_1_zephyr/13.wav,disgusted,idx13,genai,embeddings/wavlm_large/c38fdda48700b8d465aadb3674d3e7831ffe0686.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_2_leda/13.wav,disgusted,idx13,genai,embeddings/wavlm_large/9888f3e9ce06afcbced6ea415f87a505593ae2ff.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_3_fenrir/13.wav,disgusted,idx13,genai,embeddings/wavlm_large/7c5adcb9bcebc1552f37dc592e3902b8cc42a412.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_4_kore/13.wav,disgusted,idx13,genai,embeddings/wavlm_large/f1735a6a2472d1f5d6c94cb3779bdf419e3de9f7.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_5_charon/13.wav,disgusted,idx13,genai,embeddings/wavlm_large/2bd07177a6e399e9cbb1eedd40a2ebe4b1e37d79.npy
/home/arms/Workspace/emotion/vibes/output/sentences/openai/fold_1_nova/13.wav,disgusted,idx13,openai,embeddings/wavlm_large/5ba9675b1820478707e130dee8ad0c3769e46ced.npy
/home/arms/Workspace/emotion/vibes/output/sentences/openai/fold_2_coral/13.wav,disgusted,idx13,openai,embeddings/wavlm_large/dee22171a758a2c5639eee90642edf98086ec4c6.npy
/home/arms/Workspace/emotion/vibes/output/sentences/openai/fold_3_echo/13.wav,disgusted,idx13,openai,embeddings/wavlm_large/97b6f7c52fc26ea3f263dcac7cbe5015b355269f.npy
/home/arms/Workspace/emotion/vibes/output/sentences/openai/fold_4_onyx/13.wav,disgusted,idx13,openai,embeddings/wavlm_large/618d5646380aa8568cd69b01eba65e329c3cec46.npy
/home/arms/Workspace/emotion/vibes/output/sentences/openai/fold_5_verse/13.wav,disgusted,idx13,openai,embeddings/wavlm_large/eba80d281c78b99c5897290c7ef4cbb1667af920.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_1_en-US-JennyNeural/52.wav,sad,idx52,azure,embeddings/wavlm_large/b594bfd098d84ec3c959c5eb103e6079db94f4e1.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_2_en-US-DavisNeural/52.wav,sad,idx52,azure,embeddings/wavlm_large/3b7faa6feadcc0b970d299eb13dbe051f52939aa.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_3_en-US-GuyNeural/52.wav,sad,idx52,azure,embeddings/wavlm_large/e62cd8143d361090a50f4a9d8062615d1f89cd33.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_4_en-US-AriaNeural/52.wav,sad,idx52,azure,embeddings/wavlm_large/b1ce76fbb158be8e019610014fd203ba64590210.npy
/home/arms/Workspace/emotion/vibes/output/sentences/azure/fold_5_en-US-SaraNeural/52.wav,sad,idx52,azure,embeddings/wavlm_large/93e5ba802793b7f052ec24946b52367b78745148.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_1_nova/52.wav,sad,idx52,cosyvoice2,embeddings/wavlm_large/3c11b424f9ee61053b5f9ba3bbbbf5c9bb557fda.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_2_coral/52.wav,sad,idx52,cosyvoice2,embeddings/wavlm_large/835bba85037451223ed45059a6cedd706e502d93.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_3_echo/52.wav,sad,idx52,cosyvoice2,embeddings/wavlm_large/04b03954c5ba28a10dbcb0b25e157c7b36836865.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_4_onyx/52.wav,sad,idx52,cosyvoice2,embeddings/wavlm_large/3fd90b43f434be039e6eac4a21b830413f3acf24.npy
/home/arms/Workspace/emotion/vibes/output/sentences/cosyvoice2/fold_5_verse/52.wav,sad,idx52,cosyvoice2,embeddings/wavlm_large/d321ecca70e935d758af37d0a2c9ed6c39b54f2a.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_1_zephyr/52.wav,sad,idx52,genai,embeddings/wavlm_large/34c33650e14b2df862c475b7cb5a8add4fd25591.npy
/home/arms/Workspace/emotion/vibes/output/sentences/genai/fold_2_leda/52.wav,sad,idx52,genai,embeddings/wavlm_large/08498b1da9fa8afbce3c3eeee4e7cb7fc70ae422.npy
