group,emotion,wav_path,rating,naturalness
group_3,angry,output/sentences/azure/fold_1_en-US-JennyNeural/4.wav,6.6,5.8
group_3,angry,output/sentences/azure/fold_5_en-US-SaraNeural/8.wav,3.6,4.2
group_3,angry,output/sentences/cosyvoice2/fold_3_echo/4.wav,3.2,4.6
group_3,angry,output/sentences/cosyvoice2/fold_5_verse/8.wav,3.6,3.8
group_3,angry,output/sentences/genai/fold_2_leda/8.wav,6.8,6.2
group_3,angry,output/sentences/genai/fold_5_charon/4.wav,6.6,5.2
group_3,angry,output/sentences/openai/fold_2_coral/4.wav,6.8,6.2
group_3,angry,output/sentences/openai/fold_5_verse/8.wav,6.4,5.8
group_3,disgusted,output/sentences/azure/fold_2_en-US-DavisNeural/14.wav,3.0,3.4
group_3,disgusted,output/sentences/azure/fold_4_en-US-AriaNeural/16.wav,3.2,4.4
group_3,disgusted,output/sentences/cosyvoice2/fold_4_onyx/14.wav,2.8,2.4
group_3,disgusted,output/sentences/cosyvoice2/fold_4_onyx/16.wav,2.2,3.8
group_3,disgusted,output/sentences/genai/fold_4_kore/14.wav,5.8,5.0
group_3,disgusted,output/sentences/genai/fold_4_kore/16.wav,5.2,5.6
group_3,disgusted,output/sentences/openai/fold_1_nova/16.wav,3.6,4.8
group_3,disgusted,output/sentences/openai/fold_5_verse/14.wav,5.6,5.6
group_3,fearful,output/sentences/azure/fold_2_en-US-DavisNeural/26.wav,6.4,3.8
group_3,fearful,output/sentences/azure/fold_3_en-US-GuyNeural/28.wav,5.6,4.0
group_3,fearful,output/sentences/cosyvoice2/fold_2_coral/26.wav,3.2,4.4
group_3,fearful,output/sentences/cosyvoice2/fold_3_echo/28.wav,2.8,3.4
group_3,fearful,output/sentences/genai/fold_1_zephyr/26.wav,6.2,5.4
group_3,fearful,output/sentences/genai/fold_3_fenrir/28.wav,6.8,5.6
group_3,fearful,output/sentences/openai/fold_1_nova/28.wav,4.6,3.4
group_3,fearful,output/sentences/openai/fold_4_onyx/26.wav,3.2,5.8
group_3,happy,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,3.8,3.0
group_3,happy,output/sentences/azure/fold_5_en-US-SaraNeural/39.wav,4.0,3.6
group_3,happy,output/sentences/cosyvoice2/fold_1_nova/38.wav,2.6,4.0
group_3,happy,output/sentences/cosyvoice2/fold_3_echo/39.wav,2.6,4.0
group_3,happy,output/sentences/genai/fold_3_fenrir/38.wav,5.6,4.6
group_3,happy,output/sentences/genai/fold_4_kore/39.wav,6.6,6.0
group_3,happy,output/sentences/openai/fold_5_verse/38.wav,4.8,5.8
group_3,happy,output/sentences/openai/fold_5_verse/39.wav,5.6,5.6
group_3,neutral,output/sentences/azure/fold_3_en-US-GuyNeural/47.wav,5.2,4.4
group_3,neutral,output/sentences/azure/fold_4_en-US-AriaNeural/50.wav,6.2,4.2
group_3,neutral,output/sentences/cosyvoice2/fold_5_verse/47.wav,5.6,3.2
group_3,neutral,output/sentences/cosyvoice2/fold_5_verse/50.wav,5.8,3.6
group_3,neutral,output/sentences/genai/fold_2_leda/47.wav,5.8,4.6
group_3,neutral,output/sentences/genai/fold_2_leda/50.wav,5.8,5.0
group_3,neutral,output/sentences/openai/fold_3_echo/47.wav,5.8,5.0
group_3,neutral,output/sentences/openai/fold_5_verse/50.wav,5.4,4.4
group_3,sad,output/sentences/azure/fold_4_en-US-AriaNeural/51.wav,3.2,4.4
group_3,sad,output/sentences/azure/fold_4_en-US-AriaNeural/59.wav,2.4,4.0
group_3,sad,output/sentences/cosyvoice2/fold_2_coral/51.wav,2.6,5.2
group_3,sad,output/sentences/cosyvoice2/fold_4_onyx/59.wav,2.6,2.8
group_3,sad,output/sentences/genai/fold_1_zephyr/59.wav,4.2,3.0
group_3,sad,output/sentences/genai/fold_4_kore/51.wav,5.2,5.0
group_3,sad,output/sentences/openai/fold_1_nova/51.wav,4.4,4.6
group_3,sad,output/sentences/openai/fold_1_nova/59.wav,3.8,4.6
group_3,surprised,output/sentences/azure/fold_5_en-US-SaraNeural/66.wav,4.6,5.8
group_3,surprised,output/sentences/azure/fold_5_en-US-SaraNeural/68.wav,5.6,5.4
group_3,surprised,output/sentences/cosyvoice2/fold_3_echo/66.wav,2.8,4.0
group_3,surprised,output/sentences/cosyvoice2/fold_4_onyx/68.wav,2.0,4.4
group_3,surprised,output/sentences/genai/fold_2_leda/68.wav,6.4,6.2
group_3,surprised,output/sentences/genai/fold_4_kore/66.wav,6.6,6.2
group_3,surprised,output/sentences/openai/fold_2_coral/66.wav,5.6,5.8
group_3,surprised,output/sentences/openai/fold_5_verse/68.wav,6.2,5.0
