tts,prompt_id,wav_path,emotion,emotion_pred,top_score
azure,idx38,output/sentences/azure/fold_1_en-US-JennyNeural/38.wav,happy,happy,1.0
azure,idx38,output/sentences/azure/fold_2_en-US-DavisNeural/38.wav,happy,happy,0.9614155292510986
azure,idx38,output/sentences/azure/fold_3_en-US-GuyNeural/38.wav,happy,happy,0.9999984502792358
azure,idx38,output/sentences/azure/fold_4_en-US-AriaNeural/38.wav,happy,happy,1.0
azure,idx38,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,happy,happy,1.0
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_1_nova/38.wav,happy,sad,0.9997112154960632
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_2_coral/38.wav,happy,sad,0.9998528957366943
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_3_echo/38.wav,happy,happy,0.5128570795059204
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_4_onyx/38.wav,happy,neutral,0.999958872795105
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_5_verse/38.wav,happy,happy,0.9999972581863403
genai,idx38,output/sentences/genai/fold_1_zephyr/38.wav,happy,happy,1.0
genai,idx38,output/sentences/genai/fold_2_leda/38.wav,happy,happy,1.0
genai,idx38,output/sentences/genai/fold_3_fenrir/38.wav,happy,happy,1.0
genai,idx38,output/sentences/genai/fold_4_kore/38.wav,happy,happy,1.0
genai,idx38,output/sentences/genai/fold_5_charon/38.wav,happy,happy,0.9999996423721313
openai,idx38,output/sentences/openai/fold_1_nova/38.wav,happy,happy,0.9152249693870544
openai,idx38,output/sentences/openai/fold_2_coral/38.wav,happy,happy,0.9999995231628418
openai,idx38,output/sentences/openai/fold_3_echo/38.wav,happy,neutral,0.9776535630226135
openai,idx38,output/sentences/openai/fold_4_onyx/38.wav,happy,neutral,0.7265544533729553
openai,idx38,output/sentences/openai/fold_5_verse/38.wav,happy,happy,0.9969095587730408
azure,idx14,output/sentences/azure/fold_1_en-US-JennyNeural/14.wav,disgusted,neutral,0.9696474075317383
azure,idx14,output/sentences/azure/fold_2_en-US-DavisNeural/14.wav,disgusted,disgusted,0.9937847852706909
azure,idx14,output/sentences/azure/fold_3_en-US-GuyNeural/14.wav,disgusted,disgusted,0.9998175501823425
azure,idx14,output/sentences/azure/fold_4_en-US-AriaNeural/14.wav,disgusted,neutral,0.5249388813972473
azure,idx14,output/sentences/azure/fold_5_en-US-SaraNeural/14.wav,disgusted,disgusted,0.9205365180969238
cosyvoice2,idx14,output/sentences/cosyvoice2/fold_1_nova/14.wav,disgusted,disgusted,1.0
cosyvoice2,idx14,output/sentences/cosyvoice2/fold_2_coral/14.wav,disgusted,disgusted,1.0
cosyvoice2,idx14,output/sentences/cosyvoice2/fold_3_echo/14.wav,disgusted,disgusted,0.9999990463256836
cosyvoice2,idx14,output/sentences/cosyvoice2/fold_4_onyx/14.wav,disgusted,disgusted,0.9437049031257629
cosyvoice2,idx14,output/sentences/cosyvoice2/fold_5_verse/14.wav,disgusted,disgusted,1.0
genai,idx14,output/sentences/genai/fold_1_zephyr/14.wav,disgusted,disgusted,1.0
genai,idx14,output/sentences/genai/fold_2_leda/14.wav,disgusted,disgusted,1.0
genai,idx14,output/sentences/genai/fold_3_fenrir/14.wav,disgusted,disgusted,0.9999986886978149
genai,idx14,output/sentences/genai/fold_4_kore/14.wav,disgusted,disgusted,0.9998745918273926
genai,idx14,output/sentences/genai/fold_5_charon/14.wav,disgusted,disgusted,1.0
openai,idx14,output/sentences/openai/fold_1_nova/14.wav,disgusted,disgusted,0.9999992847442627
openai,idx14,output/sentences/openai/fold_2_coral/14.wav,disgusted,disgusted,0.9999996423721313
openai,idx14,output/sentences/openai/fold_3_echo/14.wav,disgusted,disgusted,1.0
openai,idx14,output/sentences/openai/fold_4_onyx/14.wav,disgusted,disgusted,0.9999998807907104
openai,idx14,output/sentences/openai/fold_5_verse/14.wav,disgusted,disgusted,0.9999455213546753
azure,idx51,output/sentences/azure/fold_1_en-US-JennyNeural/51.wav,sad,sad,0.9957146048545837
azure,idx51,output/sentences/azure/fold_2_en-US-DavisNeural/51.wav,sad,sad,0.9999905824661255
azure,idx51,output/sentences/azure/fold_3_en-US-GuyNeural/51.wav,sad,neutral,0.9914347529411316
azure,idx51,output/sentences/azure/fold_4_en-US-AriaNeural/51.wav,sad,neutral,0.99657142162323
azure,idx51,output/sentences/azure/fold_5_en-US-SaraNeural/51.wav,sad,sad,0.9999258518218994
cosyvoice2,idx51,output/sentences/cosyvoice2/fold_1_nova/51.wav,sad,neutral,1.0
cosyvoice2,idx51,output/sentences/cosyvoice2/fold_2_coral/51.wav,sad,sad,1.0
cosyvoice2,idx51,output/sentences/cosyvoice2/fold_3_echo/51.wav,sad,neutral,0.9930114150047302
cosyvoice2,idx51,output/sentences/cosyvoice2/fold_4_onyx/51.wav,sad,sad,0.9969797730445862
cosyvoice2,idx51,output/sentences/cosyvoice2/fold_5_verse/51.wav,sad,sad,0.46065816283226013
genai,idx51,output/sentences/genai/fold_1_zephyr/51.wav,sad,sad,0.9936561584472656
genai,idx51,output/sentences/genai/fold_2_leda/51.wav,sad,sad,1.0
genai,idx51,output/sentences/genai/fold_3_fenrir/51.wav,sad,sad,0.9999909400939941
genai,idx51,output/sentences/genai/fold_4_kore/51.wav,sad,sad,1.0
genai,idx51,output/sentences/genai/fold_5_charon/51.wav,sad,sad,1.0
openai,idx51,output/sentences/openai/fold_1_nova/51.wav,sad,sad,0.9999994039535522
openai,idx51,output/sentences/openai/fold_2_coral/51.wav,sad,neutral,0.9999936819076538
openai,idx51,output/sentences/openai/fold_3_echo/51.wav,sad,neutral,0.999997615814209
openai,idx51,output/sentences/openai/fold_4_onyx/51.wav,sad,neutral,0.9757840633392334
openai,idx51,output/sentences/openai/fold_5_verse/51.wav,sad,neutral,0.9958990216255188
azure,idx50,output/sentences/azure/fold_1_en-US-JennyNeural/50.wav,neutral,neutral,0.9999966621398926
azure,idx50,output/sentences/azure/fold_2_en-US-DavisNeural/50.wav,neutral,sad,0.9952948689460754
azure,idx50,output/sentences/azure/fold_3_en-US-GuyNeural/50.wav,neutral,happy,0.9515184164047241
azure,idx50,output/sentences/azure/fold_4_en-US-AriaNeural/50.wav,neutral,neutral,1.0
azure,idx50,output/sentences/azure/fold_5_en-US-SaraNeural/50.wav,neutral,neutral,0.9999997615814209
cosyvoice2,idx50,output/sentences/cosyvoice2/fold_1_nova/50.wav,neutral,neutral,1.0
cosyvoice2,idx50,output/sentences/cosyvoice2/fold_2_coral/50.wav,neutral,neutral,0.9999998807907104
cosyvoice2,idx50,output/sentences/cosyvoice2/fold_3_echo/50.wav,neutral,neutral,0.9997782111167908
cosyvoice2,idx50,output/sentences/cosyvoice2/fold_4_onyx/50.wav,neutral,neutral,0.9539722204208374
cosyvoice2,idx50,output/sentences/cosyvoice2/fold_5_verse/50.wav,neutral,happy,0.8742061853408813
genai,idx50,output/sentences/genai/fold_1_zephyr/50.wav,neutral,sad,0.9975110292434692
genai,idx50,output/sentences/genai/fold_2_leda/50.wav,neutral,sad,0.9907439351081848
genai,idx50,output/sentences/genai/fold_3_fenrir/50.wav,neutral,neutral,0.9944872260093689
genai,idx50,output/sentences/genai/fold_4_kore/50.wav,neutral,neutral,0.999750554561615
genai,idx50,output/sentences/genai/fold_5_charon/50.wav,neutral,neutral,0.5481163859367371
openai,idx50,output/sentences/openai/fold_1_nova/50.wav,neutral,sad,0.6525515913963318
openai,idx50,output/sentences/openai/fold_2_coral/50.wav,neutral,neutral,0.9732785224914551
openai,idx50,output/sentences/openai/fold_3_echo/50.wav,neutral,sad,0.9765751957893372
openai,idx50,output/sentences/openai/fold_4_onyx/50.wav,neutral,neutral,0.8811048269271851
openai,idx50,output/sentences/openai/fold_5_verse/50.wav,neutral,angry,0.5794827342033386
azure,idx4,output/sentences/azure/fold_1_en-US-JennyNeural/4.wav,angry,angry,1.0
azure,idx4,output/sentences/azure/fold_2_en-US-DavisNeural/4.wav,angry,angry,1.0
azure,idx4,output/sentences/azure/fold_3_en-US-GuyNeural/4.wav,angry,angry,1.0
azure,idx4,output/sentences/azure/fold_4_en-US-AriaNeural/4.wav,angry,angry,1.0
azure,idx4,output/sentences/azure/fold_5_en-US-SaraNeural/4.wav,angry,angry,1.0
cosyvoice2,idx4,output/sentences/cosyvoice2/fold_1_nova/4.wav,angry,surprised,0.8744713068008423
cosyvoice2,idx4,output/sentences/cosyvoice2/fold_2_coral/4.wav,angry,angry,1.0
cosyvoice2,idx4,output/sentences/cosyvoice2/fold_3_echo/4.wav,angry,<unk>,0.9675861597061157
cosyvoice2,idx4,output/sentences/cosyvoice2/fold_4_onyx/4.wav,angry,neutral,0.9999986886978149
