tts,prompt_id,wav_path,emotion,emotion_pred,top_score,eas,eas_x7
azure,idx38,output/sentences/azure/fold_1_en-US-JennyNeural/38.wav,happy,happy,0.9400856494903564,0.8920177221298218,6.244124054908752
azure,idx38,output/sentences/azure/fold_2_en-US-DavisNeural/38.wav,happy,happy,0.485282838344574,0.8856946229934692,6.199862360954285
azure,idx38,output/sentences/azure/fold_3_en-US-GuyNeural/38.wav,happy,happy,0.9719573259353638,0.9378774166107178,6.565141916275024
azure,idx38,output/sentences/azure/fold_4_en-US-AriaNeural/38.wav,happy,happy,0.9760951995849609,0.8826889395713806,6.178822576999664
azure,idx38,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,happy,happy,0.8582633137702942,0.874485969543457,6.121401786804199
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_1_nova/38.wav,happy,sad,0.8976722359657288,0.745442807674408,5.218099653720856
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_2_coral/38.wav,happy,sad,0.969570517539978,0.7373149394989014,5.16120457649231
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_3_echo/38.wav,happy,neutral,0.9309895634651184,0.8215128183364868,5.750589728355408
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_4_onyx/38.wav,happy,neutral,0.9328324794769287,0.8111823797225952,5.6782766580581665
cosyvoice2,idx38,output/sentences/cosyvoice2/fold_5_verse/38.wav,happy,happy,0.9810191988945007,0.9283915758132935,6.498741030693054
genai,idx38,output/sentences/genai/fold_1_zephyr/38.wav,happy,happy,0.9841672778129578,0.8822410106658936,6.175687074661255
genai,idx38,output/sentences/genai/fold_2_leda/38.wav,happy,happy,0.9769423007965088,0.8991033434867859,6.293723404407501
genai,idx38,output/sentences/genai/fold_3_fenrir/38.wav,happy,happy,0.9734104871749878,0.8882066011428833,6.217446208000183
genai,idx38,output/sentences/genai/fold_4_kore/38.wav,happy,happy,0.9830238223075867,0.8911166191101074,6.237816333770752
genai,idx38,output/sentences/genai/fold_5_charon/38.wav,happy,happy,0.9587767124176025,0.8965623378753662,6.2759363651275635
openai,idx38,output/sentences/openai/fold_1_nova/38.wav,happy,neutral,0.4379015266895294,0.7976105213165283,5.583273649215698
openai,idx38,output/sentences/openai/fold_2_coral/38.wav,happy,happy,0.9637377858161926,0.9271321296691895,6.489924907684326
openai,idx38,output/sentences/openai/fold_3_echo/38.wav,happy,neutral,0.7627590894699097,0.8476327657699585,5.9334293603897095
openai,idx38,output/sentences/openai/fold_4_onyx/38.wav,happy,happy,0.747665524482727,0.8648484349250793,6.053939044475555
openai,idx38,output/sentences/openai/fold_5_verse/38.wav,happy,happy,0.5017789006233215,0.8309990167617798,5.8169931173324585
azure,idx14,output/sentences/azure/fold_1_en-US-JennyNeural/14.wav,disgusted,disgusted,0.9443539977073669,0.8822833299636841,6.175983309745789
