rater,idx,tts,emotion,wav_path,rating,naturalness
usr07,idx4,cosyvoice2,angry,output/sentences/cosyvoice2/fold_5_verse/4.wav,4,2
usr07,idx14,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_3_echo/14.wav,1,1
usr07,idx51,azure,sad,output/sentences/azure/fold_3_en-US-GuyNeural/51.wav,2,2
usr07,idx8,cosyvoice2,angry,output/sentences/cosyvoice2/fold_4_onyx/8.wav,1,2
usr07,idx26,genai,fearful,output/sentences/genai/fold_3_fenrir/26.wav,6,4
usr07,idx50,openai,neutral,output/sentences/openai/fold_1_nova/50.wav,6,2
usr07,idx66,cosyvoice2,surprised,output/sentences/cosyvoice2/fold_1_nova/66.wav,3,2
usr07,idx14,azure,disgusted,output/sentences/azure/fold_4_en-US-AriaNeural/14.wav,1,1
usr07,idx28,azure,fearful,output/sentences/azure/fold_5_en-US-SaraNeural/28.wav,7,6
usr07,idx47,openai,neutral,output/sentences/openai/fold_2_coral/47.wav,6,2
usr07,idx26,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_3_echo/26.wav,1,4
usr07,idx8,azure,angry,output/sentences/azure/fold_1_en-US-JennyNeural/8.wav,4,1
usr07,idx8,openai,angry,output/sentences/openai/fold_1_nova/8.wav,1,1
usr07,idx51,genai,sad,output/sentences/genai/fold_2_leda/51.wav,4,6
usr07,idx47,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_3_echo/47.wav,6,2
usr07,idx16,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_1_nova/16.wav,1,6
usr07,idx26,azure,fearful,output/sentences/azure/fold_5_en-US-SaraNeural/26.wav,7,7
usr07,idx16,azure,disgusted,output/sentences/azure/fold_5_en-US-SaraNeural/16.wav,1,2
usr07,idx39,genai,happy,output/sentences/genai/fold_3_fenrir/39.wav,5,2
usr07,idx66,azure,surprised,output/sentences/azure/fold_4_en-US-AriaNeural/66.wav,3,2
usr07,idx51,cosyvoice2,sad,output/sentences/cosyvoice2/fold_3_echo/51.wav,2,1
usr07,idx59,azure,sad,output/sentences/azure/fold_1_en-US-JennyNeural/59.wav,1,1
usr07,idx26,openai,fearful,output/sentences/openai/fold_3_echo/26.wav,3,1
usr07,idx59,openai,sad,output/sentences/openai/fold_4_onyx/59.wav,6,5
usr07,idx4,genai,angry,output/sentences/genai/fold_2_leda/4.wav,7,5
usr07,idx38,azure,happy,output/sentences/azure/fold_1_en-US-JennyNeural/38.wav,4,3
usr07,idx59,genai,sad,output/sentences/genai/fold_2_leda/59.wav,6,5
usr07,idx66,genai,surprised,output/sentences/genai/fold_2_leda/66.wav,7,7
usr07,idx68,cosyvoice2,surprised,output/sentences/cosyvoice2/fold_1_nova/68.wav,1,2
usr07,idx28,genai,fearful,output/sentences/genai/fold_4_kore/28.wav,7,7
usr07,idx39,openai,happy,output/sentences/openai/fold_4_onyx/39.wav,5,3
usr07,idx39,azure,happy,output/sentences/azure/fold_2_en-US-DavisNeural/39.wav,3,6
usr07,idx59,cosyvoice2,sad,output/sentences/cosyvoice2/fold_3_echo/59.wav,1,2
usr07,idx4,azure,angry,output/sentences/azure/fold_5_en-US-SaraNeural/4.wav,5,3
usr07,idx4,openai,angry,output/sentences/openai/fold_1_nova/4.wav,6,2
usr07,idx39,cosyvoice2,happy,output/sentences/cosyvoice2/fold_5_verse/39.wav,1,1
usr07,idx38,openai,happy,output/sentences/openai/fold_2_coral/38.wav,1,4
usr07,idx38,genai,happy,output/sentences/genai/fold_1_zephyr/38.wav,6,6
usr07,idx50,azure,neutral,output/sentences/azure/fold_3_en-US-GuyNeural/50.wav,6,6
usr07,idx16,genai,disgusted,output/sentences/genai/fold_5_charon/16.wav,4,2
usr07,idx14,openai,disgusted,output/sentences/openai/fold_3_echo/14.wav,2,1
usr07,idx66,openai,surprised,output/sentences/openai/fold_3_echo/66.wav,4,2
usr07,idx28,openai,fearful,output/sentences/openai/fold_4_onyx/28.wav,1,1
usr07,idx50,genai,neutral,output/sentences/genai/fold_4_kore/50.wav,5,1
usr07,idx50,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_4_onyx/50.wav,4,1
usr07,idx51,openai,sad,output/sentences/openai/fold_4_onyx/51.wav,5,6
usr07,idx8,genai,angry,output/sentences/genai/fold_1_zephyr/8.wav,7,7
usr07,idx14,genai,disgusted,output/sentences/genai/fold_1_zephyr/14.wav,5,6
usr07,idx68,genai,surprised,output/sentences/genai/fold_4_kore/68.wav,7,7
usr07,idx16,openai,disgusted,output/sentences/openai/fold_5_verse/16.wav,3,5
usr07,idx47,azure,neutral,output/sentences/azure/fold_2_en-US-DavisNeural/47.wav,5,2
usr07,idx68,openai,surprised,output/sentences/openai/fold_3_echo/68.wav,6,4
usr07,idx47,genai,neutral,output/sentences/genai/fold_1_zephyr/47.wav,6,2
usr07,idx68,azure,surprised,output/sentences/azure/fold_1_en-US-JennyNeural/68.wav,6,3
usr07,idx38,cosyvoice2,happy,output/sentences/cosyvoice2/fold_3_echo/38.wav,1,1
usr07,idx28,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_4_onyx/28.wav,1,3
