rater,idx,tts,emotion,wav_path,rating,naturalness
usr14,idx16,genai,disgusted,output/sentences/genai/fold_3_fenrir/16.wav,7.0,6.0
usr14,idx59,openai,sad,output/sentences/openai/fold_5_verse/59.wav,5.0,3.0
usr14,idx14,genai,disgusted,output/sentences/genai/fold_3_fenrir/14.wav,7.0,7.0
usr14,idx14,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_1_nova/14.wav,6.0,6.0
usr14,idx8,azure,angry,output/sentences/azure/fold_2_en-US-DavisNeural/8.wav,4.0,3.0
usr14,idx59,azure,sad,output/sentences/azure/fold_3_en-US-GuyNeural/59.wav,6.0,6.0
usr14,idx50,genai,neutral,output/sentences/genai/fold_5_charon/50.wav,6.0,6.0
usr14,idx26,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_4_onyx/26.wav,2.0,2.0
usr14,idx50,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_3_echo/50.wav,7.0,7.0
usr14,idx66,azure,surprised,output/sentences/azure/fold_3_en-US-GuyNeural/66.wav,5.0,4.0
usr14,idx39,genai,happy,output/sentences/genai/fold_2_leda/39.wav,6.0,5.0
usr14,idx16,openai,disgusted,output/sentences/openai/fold_3_echo/16.wav,6.0,5.0
usr14,idx16,cosyvoice2,disgusted,output/sentences/cosyvoice2/fold_5_verse/16.wav,4.0,4.0
usr14,idx39,cosyvoice2,happy,output/sentences/cosyvoice2/fold_1_nova/39.wav,3.0,2.0
usr14,idx68,openai,surprised,output/sentences/openai/fold_4_onyx/68.wav,5.0,4.0
usr14,idx68,cosyvoice2,surprised,output/sentences/cosyvoice2/fold_5_verse/68.wav,3.0,4.0
usr14,idx4,openai,angry,output/sentences/openai/fold_3_echo/4.wav,5.0,4.0
usr14,idx26,genai,fearful,output/sentences/genai/fold_2_leda/26.wav,3.0,4.0
usr14,idx47,azure,neutral,output/sentences/azure/fold_5_en-US-SaraNeural/47.wav,5.0,4.0
usr14,idx4,cosyvoice2,angry,output/sentences/cosyvoice2/fold_1_nova/4.wav,2.0,3.0
usr14,idx28,cosyvoice2,fearful,output/sentences/cosyvoice2/fold_5_verse/28.wav,2.0,1.0
usr14,idx4,genai,angry,output/sentences/genai/fold_3_fenrir/4.wav,7.0,6.0
usr14,idx14,openai,disgusted,output/sentences/openai/fold_2_coral/14.wav,7.0,5.0
usr14,idx26,azure,fearful,output/sentences/azure/fold_1_en-US-JennyNeural/26.wav,5.0,6.0
usr14,idx47,cosyvoice2,neutral,output/sentences/cosyvoice2/fold_2_coral/47.wav,4.0,6.0
usr14,idx28,genai,fearful,output/sentences/genai/fold_1_zephyr/28.wav,6.0,6.0
usr14,idx8,genai,angry,output/sentences/genai/fold_3_fenrir/8.wav,5.0,4.0
usr14,idx50,openai,neutral,output/sentences/openai/fold_3_echo/50.wav,5.0,5.0
