wav_path,emotion,prompt_id,tts
output/sentences/azure/fold_1_en-US-JennyNeural/13.wav,disgusted,idx13,azure
output/sentences/azure/fold_2_en-US-DavisNeural/13.wav,disgusted,idx13,azure
output/sentences/azure/fold_3_en-US-GuyNeural/13.wav,disgusted,idx13,azure
output/sentences/azure/fold_4_en-US-AriaNeural/13.wav,disgusted,idx13,azure
output/sentences/azure/fold_5_en-US-SaraNeural/13.wav,disgusted,idx13,azure
output/sentences/cosyvoice2/fold_1_nova/13.wav,disgusted,idx13,cosyvoice2
output/sentences/cosyvoice2/fold_2_coral/13.wav,disgusted,idx13,cosyvoice2
output/sentences/cosyvoice2/fold_3_echo/13.wav,disgusted,idx13,cosyvoice2
output/sentences/cosyvoice2/fold_4_onyx/13.wav,disgusted,idx13,cosyvoice2
output/sentences/cosyvoice2/fold_5_verse/13.wav,disgusted,idx13,cosyvoice2
output/sentences/genai/fold_1_zephyr/13.wav,disgusted,idx13,genai
output/sentences/genai/fold_2_leda/13.wav,disgusted,idx13,genai
output/sentences/genai/fold_3_fenrir/13.wav,disgusted,idx13,genai
output/sentences/genai/fold_4_kore/13.wav,disgusted,idx13,genai
output/sentences/genai/fold_5_charon/13.wav,disgusted,idx13,genai
output/sentences/openai/fold_1_nova/13.wav,disgusted,idx13,openai
output/sentences/openai/fold_2_coral/13.wav,disgusted,idx13,openai
output/sentences/openai/fold_3_echo/13.wav,disgusted,idx13,openai
output/sentences/openai/fold_4_onyx/13.wav,disgusted,idx13,openai
output/sentences/openai/fold_5_verse/13.wav,disgusted,idx13,openai
output/sentences/azure/fold_1_en-US-JennyNeural/52.wav,sad,idx52,azure
output/sentences/azure/fold_2_en-US-DavisNeural/52.wav,sad,idx52,azure
output/sentences/azure/fold_3_en-US-GuyNeural/52.wav,sad,idx52,azure
output/sentences/azure/fold_4_en-US-AriaNeural/52.wav,sad,idx52,azure
output/sentences/azure/fold_5_en-US-SaraNeural/52.wav,sad,idx52,azure
output/sentences/cosyvoice2/fold_1_nova/52.wav,sad,idx52,cosyvoice2
output/sentences/cosyvoice2/fold_2_coral/52.wav,sad,idx52,cosyvoice2
output/sentences/cosyvoice2/fold_3_echo/52.wav,sad,idx52,cosyvoice2
output/sentences/cosyvoice2/fold_4_onyx/52.wav,sad,idx52,cosyvoice2
output/sentences/cosyvoice2/fold_5_verse/52.wav,sad,idx52,cosyvoice2
output/sentences/genai/fold_1_zephyr/52.wav,sad,idx52,genai
output/sentences/genai/fold_2_leda/52.wav,sad,idx52,genai
output/sentences/genai/fold_3_fenrir/52.wav,sad,idx52,genai
output/sentences/genai/fold_4_kore/52.wav,sad,idx52,genai
output/sentences/genai/fold_5_charon/52.wav,sad,idx52,genai
output/sentences/openai/fold_1_nova/52.wav,sad,idx52,openai
output/sentences/openai/fold_2_coral/52.wav,sad,idx52,openai
output/sentences/openai/fold_3_echo/52.wav,sad,idx52,openai
output/sentences/openai/fold_4_onyx/52.wav,sad,idx52,openai
output/sentences/openai/fold_5_verse/52.wav,sad,idx52,openai
output/sentences/azure/fold_1_en-US-JennyNeural/22.wav,fearful,idx22,azure
output/sentences/azure/fold_2_en-US-DavisNeural/22.wav,fearful,idx22,azure
output/sentences/azure/fold_3_en-US-GuyNeural/22.wav,fearful,idx22,azure
output/sentences/azure/fold_4_en-US-AriaNeural/22.wav,fearful,idx22,azure
output/sentences/azure/fold_5_en-US-SaraNeural/22.wav,fearful,idx22,azure
output/sentences/cosyvoice2/fold_1_nova/22.wav,fearful,idx22,cosyvoice2
output/sentences/cosyvoice2/fold_2_coral/22.wav,fearful,idx22,cosyvoice2
output/sentences/cosyvoice2/fold_3_echo/22.wav,fearful,idx22,cosyvoice2
output/sentences/cosyvoice2/fold_4_onyx/22.wav,fearful,idx22,cosyvoice2
output/sentences/cosyvoice2/fold_5_verse/22.wav,fearful,idx22,cosyvoice2
output/sentences/genai/fold_1_zephyr/22.wav,fearful,idx22,genai
output/sentences/genai/fold_2_leda/22.wav,fearful,idx22,genai
output/sentences/genai/fold_3_fenrir/22.wav,fearful,idx22,genai
output/sentences/genai/fold_4_kore/22.wav,fearful,idx22,genai
output/sentences/genai/fold_5_charon/22.wav,fearful,idx22,genai
output/sentences/openai/fold_1_nova/22.wav,fearful,idx22,openai
output/sentences/openai/fold_2_coral/22.wav,fearful,idx22,openai
output/sentences/openai/fold_3_echo/22.wav,fearful,idx22,openai
output/sentences/openai/fold_4_onyx/22.wav,fearful,idx22,openai
output/sentences/openai/fold_5_verse/22.wav,fearful,idx22,openai
output/sentences/azure/fold_1_en-US-JennyNeural/42.wav,neutral,idx42,azure
output/sentences/azure/fold_2_en-US-DavisNeural/42.wav,neutral,idx42,azure
output/sentences/azure/fold_3_en-US-GuyNeural/42.wav,neutral,idx42,azure
output/sentences/azure/fold_4_en-US-AriaNeural/42.wav,neutral,idx42,azure
output/sentences/azure/fold_5_en-US-SaraNeural/42.wav,neutral,idx42,azure
output/sentences/cosyvoice2/fold_1_nova/42.wav,neutral,idx42,cosyvoice2
output/sentences/cosyvoice2/fold_2_coral/42.wav,neutral,idx42,cosyvoice2
output/sentences/cosyvoice2/fold_3_echo/42.wav,neutral,idx42,cosyvoice2
output/sentences/cosyvoice2/fold_4_onyx/42.wav,neutral,idx42,cosyvoice2
output/sentences/cosyvoice2/fold_5_verse/42.wav,neutral,idx42,cosyvoice2
output/sentences/genai/fold_1_zephyr/42.wav,neutral,idx42,genai
output/sentences/genai/fold_2_leda/42.wav,neutral,idx42,genai
